
CodeIgniter v4.1.8 Command Line Tool - Server Time: 2022-02-18 21:11:45 UTC-06:00

+--------+-------------------------------------------+---------------------------------------------------------------------------------+
| Method | Route                                     | Handler                                                                         |
+--------+-------------------------------------------+---------------------------------------------------------------------------------+
| GET    | register                                  | \App\Controllers\Auth\RegisterController::registerView                          |
| GET    | login                                     | \App\Controllers\Auth\LoginController::loginView                                |
| GET    | login/magic-link                          | \App\Controllers\Auth\MagicLinkController::loginView                            |
| GET    | login/verify-magic-link                   | \App\Controllers\Auth\MagicLinkController::verify                               |
| GET    | logout                                    | \Sparks\Shield\Controllers\LoginController::logoutAction                        |
| GET    | auth/a/show                               | \Sparks\Shield\Controllers\ActionController::show                               |
| GET    | /                                         | \App\Controllers\Home::index                                                    |
| GET    | swagger                                   | \App\Controllers\Swagger::index                                                 |
| GET    | api/wilayahs/index                        | \App\Modules\Api\Controllers\Wilayahs::index                                    |
| GET    | api/users                                 | \App\Modules\Api\Controllers\Users::index                                       |
| GET    | api/users/new                             | \App\Modules\Api\Controllers\Users::new                                         |
| GET    | api/users/(.*)/edit                       | \App\Modules\Api\Controllers\Users::edit/$1                                     |
| GET    | api/users/(.*)                            | \App\Modules\Api\Controllers\Users::show/$1                                     |
| GET    | api/jabatans                              | \App\Modules\Api\Controllers\Jabatans::index                                    |
| GET    | api/jabatans/new                          | \App\Modules\Api\Controllers\Jabatans::new                                      |
| GET    | api/jabatans/(.*)/edit                    | \App\Modules\Api\Controllers\Jabatans::edit/$1                                  |
| GET    | api/jabatans/(.*)                         | \App\Modules\Api\Controllers\Jabatans::show/$1                                  |
| GET    | api/pengurus                              | \App\Modules\Api\Controllers\Pengurus::index                                    |
| GET    | api/pengurus/new                          | \App\Modules\Api\Controllers\Pengurus::new                                      |
| GET    | api/pengurus/(.*)/edit                    | \App\Modules\Api\Controllers\Pengurus::edit/$1                                  |
| GET    | api/pengurus/(.*)                         | \App\Modules\Api\Controllers\Pengurus::show/$1                                  |
| GET    | api/wilayahs/new                          | \App\Modules\Api\Controllers\Wilayahs::new                                      |
| GET    | api/wilayahs/(.*)/edit                    | \App\Modules\Api\Controllers\Wilayahs::edit/$1                                  |
